sample_id,vol_cor,sieve,fraction_proc,size_class,phylum,class,order,family,genus,species,plot.taxon.g,plot.taxon.d,plot.taxon,labID,stage,sex,length,count,tot_count,abundance,lab_processor,sample_time,ww,biomass,processor_notes,tow_id,tow_fraction,preservation_method,analyzed_by,sample_comments,survey_date,site_id,sampling_bout,tow_type,line_out_depth,tow_lat,tow_long,tow_start_time,tow_bot_time,tow_end_time,tow_duration,flow_meter,flowmeter_in,flowmeter_out,flow_flag,revolutions,corrected_volume,modelled_volume,solo_id,solo_depth,tow_split,sample_collected,zoop_tow_comments,quality_level,quality_log
JSPK1112,21.70554094,1000,1,1 to 2,Chordata,Actinopterygii,NA,NA,NA,NA,Other,Actinopterygii,Actinopterygii,Egg (fish),NA,NA,<2,2,2,0.09,Andrea Le,17:47:00,37,1.704633858,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,<1,NA,NA,NA,NA,NA,NA,Other,Other,Other,Egg (oily),NA,NA,<2,6,120,5.53,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,1 to 2,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,Epilabidocera,Epilabidocera longipedata,<C5,NA,<2,2,40,1.84,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,1 to 2,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,Epilabidocera,Epilabidocera longipedata,C5,NA,<2,1,20,0.92,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,1000,1,5 to 10,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,NA,Calanoid copepod,Eucalanus,Eucalanus,Eucalanus,NA,NA,6,1,1,0.05,Andrea Le,17:47:00,37,1.704633858,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,1 to 2,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,NA,Euphausiid,Euphausiidae,Euphausiidae,Euphausiid calytopsis,NA,NA,<2,16,320,14.74,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,<1,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Evadne,NA,Cladoceran,Evadne,Evadne,Evadne,NA,NA,<2,120,2400,110.57,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,<1,Mollusca,Gastropoda,NA,NA,NA,NA,Other,Gastropoda,Gastropoda,Gastropod egg,NA,NA,<2,47,940,43.31,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,<1,Mollusca,Gastropoda,NA,NA,NA,NA,Other,Gastropoda,Gastropoda,Gastropod veliger,veliger,NA,<2,1,20,0.92,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,1000,1,2 to 5,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,Halitholus,NA,Other,Halitholus,Halitholus,Halitholus,NA,NA,3.3,3,3,0.14,Andrea Le,17:47:00,37,1.704633858,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,1 to 2,Arthropoda,Hexanauplia,Harpacticoida,NA,NA,NA,Other,Harpacticoida,Harpacticoida,Harpacticoid spp,NA,NA,<2,2,40,1.84,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,1 to 2,Cnidaria,Hydrozoa,NA,NA,NA,NA,Other,Hydrozoa,Hydrozoa,Hydromedusae,NA,NA,<2,2,40,1.84,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,1000,1,5 to 10,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,NA,Amphipod,Themisto,Themisto,Hyperiid (themisto),NA,NA,8.4,2,2,0.09,Andrea Le,17:47:00,37,1.704633858,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,2000,1,5 to 10,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,Leukartiara,NA,Other,Leukartiara,Leukartiara,Leuckartiara,NA,NA,8,4,4,0.18,Andrea Le,17:47:00,10819.6,498.4717971,gelatinous,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,2 to 5,Arthropoda,Malacostraca,Decapoda,Majidae,NA,NA,Decapod,Majidae,Majidae,Majidae,NA,NA,2.5,1,20,0.92,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,1 to 2,Arthropoda,Hexanauplia,Harpacticoida,Ectinosomatidae,Microsetella,NA,Other,Microsetella,Harpacticoida,Microsetella,NA,NA,<2,3,60,2.76,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,2 to 5,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,Larvacean,Larvacean,Larvacean,Oikopleura,NA,NA,<2,2,40,1.84,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,<1,Arthropoda,Maxillopoda,Cyclopoida,Oithonidae,Oithona,NA,Other,Oithona,Oithona,Oithona,NA,NA,<2,2,40,1.84,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,1000,1,2 to 5,Arthropoda,Malacostraca,Decapoda,Pandalidae,NA,NA,Decapod,Pandalidae,Pandalidae,Pandalidae,NA,NA,3.7,1,1,0.05,Andrea Le,17:47:00,37,1.704633858,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,2 to 5,Arthropoda,Malacostraca,Decapoda,Pandalidae,NA,NA,Decapod,Pandalidae,Pandalidae,Pandalidae,NA,NA,2.7,2,40,1.84,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,<1,Arthropoda,Maxillipoda,Calanoida,Paracalanidae,Paracalanus,NA,Calanoid copepod,Paracalanus,Paracalanus,Paracalanus,NA,NA,<2,15,300,13.82,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,1000,1,2 to 5,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,NA,NA,Decapod,Pinnotheridae,Pinnotheridae,Pinnotheridae,NA,NA,3.3,1,1,0.05,Andrea Le,17:47:00,37,1.704633858,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,<1,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Podon,NA,Cladoceran,Podon,Podon,Podon,NA,NA,<2,1,20,0.92,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,1000,1,1 to 2,Arthropoda,Maxillipoda,Calanoida,Clausocalanidae,Pseudocalanus,NA,Calanoid copepod,Pseudocalanus,Pseudocalanus,Pseudocalanus,NA,NA,<2,1,1,0.05,Andrea Le,17:47:00,37,1.704633858,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,1 to 2,Arthropoda,Maxillipoda,Calanoida,Clausocalanidae,Pseudocalanus,NA,Calanoid copepod,Pseudocalanus,Pseudocalanus,Pseudocalanus,NA,NA,<2,77,1540,70.95,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1112,21.70554094,250,0.05,1 to 2,Arthropoda,Hexanauplia,Calanoida,Tortanidae,Tortanus,NA,Calanoid copepod,Tortanus,Tortanus,Tortanus,NA,M,<2,3,60,2.76,Andrea Le,17:47:00,8549,393.8625636,NA,2016-06-03_J07_1,1,formalin,NA,NA,2016-06-03,J07,1,H,0,50.458499,-126.169751,2016-06-03 17:47:30 PDT,NA,2016-06-03 17:49:32 PDT,0:02:02,B27225,629297,633090,N,3793,21.70554094,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,1 to 2,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,NA,Calanoid copepod,Acartia,Acartia,Acartia,NA,NA,<2,90,3000,199.48,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,2000,1,>10,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,victoria,Other,Aequorea,Aequorea,Aequorea victoria,NA,NA,60,1,1,0.07,Andrea Le,07:22:00,4.4,0.292574987,non-gelatinous,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,2000,1,>10,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,victoria,Other,Aequorea,Aequorea,Aequorea victoria,NA,NA,60,1,1,0.07,Andrea Le,07:22:00,13678.5,909.5424919,gelatinous,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,1000,1,2 to 5,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Aetidius,diveregns,Calanoid copepod,Aetidius,Aetidius,Aetidius divergens,NA,NA,2,1,1,0.07,Andrea Le,07:22:00,247.2,16.43739474,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Barnacle,Barnacle,Barnacle,Barnacle Nauplius,nauplius,NA,<2,7,233,15.52,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,<1,Bryozoa,NA,NA,NA,NA,NA,Other,Bryozoa,Bryozoa,Bryozoa,NA,NA,<2,8,267,17.73,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,1000,1,2 to 5,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,Calanus,Calanus marshallae,NA,NA,3.6,119,119,7.91,Andrea Le,07:22:00,247.2,16.43739474,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,1000,1,2 to 5,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,pacificus,Calanoid copepod,Calanus,Calanus,Calanus pacificus,NA,NA,2.9,44,44,2.93,Andrea Le,07:22:00,247.2,16.43739474,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,2 to 5,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,pacificus,Calanoid copepod,Calanus,Calanus,Calanus pacificus,NA,NA,2.4,1,33,2.22,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,1 to 2,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,C5,NA,<2,1,33,2.22,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,1 to 2,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,F,<2,1,33,2.22,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,1 to 2,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,M,<2,1,33,2.22,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,1000,1,5 to 10,Chaetognatha,NA,NA,NA,NA,NA,Other,Chaetognatha,Chaetognatha,Chaetognath,NA,NA,9.5,6,6,0.4,Andrea Le,07:22:00,247.2,16.43739474,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,2 to 5,Chaetognatha,NA,NA,NA,NA,NA,Other,Chaetognatha,Chaetognatha,Chaetognath,NA,NA,3,1,33,2.22,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Other,Copepod (<CV),Copepod nauplius,Copepod nauplius,nauplius,NA,<2,9,300,19.95,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,<1,Arthropoda,Maxillipoda,Calanoida,NA,NA,NA,Calanoid copepod,Copepod (<CV),Copepodite,Copepodite,C2,NA,<2,2,67,4.43,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,<1,Arthropoda,Maxillipoda,Calanoida,NA,NA,NA,Calanoid copepod,Copepod (<CV),Copepodite,Copepodite,C1,NA,<2,3,100,6.65,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,<1,Arthropoda,Maxillopoda,Poecilostomatoida,Corycaeidae,Corycaeus,NA,Other,Corycaeus,Corycaeus,Corycaeus,NA,NA,<2,1,33,2.22,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Barnacle,Barnacle,Barnacle,Cyprid,NA,NA,<2,1,33,2.22,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,<1,NA,NA,NA,NA,NA,NA,Other,Other,Other,Egg (oily),NA,NA,<2,208,6933,461.03,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,1000,1,2 to 5,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,Epilabidocera,Epilabidocera longipedata,NA,F,3.5,1,1,0.07,Andrea Le,07:22:00,247.2,16.43739474,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,1000,1,2 to 5,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,Epilabidocera,Epilabidocera longipedata,C5,NA,2.8,1,1,0.07,Andrea Le,07:22:00,247.2,16.43739474,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,<1,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Evadne,NA,Cladoceran,Evadne,Evadne,Evadne,NA,NA,<2,9,300,19.95,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,<1,Mollusca,Gastropoda,NA,NA,NA,NA,Other,Gastropoda,Gastropoda,Gastropod egg,NA,NA,<2,3,100,6.65,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
JSPK1135,15.03887957,250,0.03,<1,Mollusca,Gastropoda,NA,NA,NA,NA,Other,Gastropoda,Gastropoda,Gastropod veliger,veliger,NA,<2,1,33,2.22,Andrea Le,07:22:00,1434.4,95.37944588,NA,2016-06-20_J07_1,1,formalin,NA,NA,2016-06-20,J07,1,H,0,50.45572751,-126.116461,2016-06-20 07:22:46 PDT,NA,2016-06-20 07:24:45 PDT,0:01:59,B27225,688676,691262,N,2586,15.03887957,NA,NA,NA,no,TAX,NA,Technician,NA
